,Fish lenght[mm],eye area [mm²],yolk sac area [mm²],yolk sac breadth [mm]
control (fishwater)_C1-28,3.444,0.044,0.195,0.412
1% DMSO_C1-28,3.299,0.043,0.176,0.435
C1,0,0,0,0
C2,3.2654,0.038,0.131,0.3975
C3,3.166,0.025,0.196,0.512
C4,0,0,0,0
C5,3.503,0.045,0.154,0.432
C6,0,0,0,0
C7,3.2535,0.036,0.181,0.4695
C8,3.312,0.044,0.165,0.414
C9,3.435,0.047,0.154,0.384
C10,3.1925,0.032,0.195,0.4405
C11,3.385,0.042,0.181,0.435
C12,3.0385,0.037,0.21,0.499
C13,3.162,0.038,0.184,0.4625
C14,3.142,0.032,0.1875,0.403
C15,0,0,0,0
C16,0,0,0,0
C17,3.295,0.038,0.208,0.507
C18,3.45,0.044,0.2,0.433
C19,0,0,0,0
C20,2.8055,0.026,0.275,0.5375
C21,0,0,0,0
C22,1.89,0.024,0.257,0.556
C23,3.533,0.047,0.191,0.414
C24,3.068,0.041,0.228,0.474
C25,0,0,0,0
C26,0,0,0,0
C27,2.827,0.031,0.193,0.402
C28,3.099,0.048,0.228,0.447
control (fishwater)_C29-58,3.556,0.047,0.167,0.393
1% DMSO_C29-58,3.315,0.043,0.19,0.411
C29,0,0,0,0
C30,0,0,0,0
C31,0,0,0,0
C32,0,0,0,0
C33,0,0,0,0
C34,3.277,0.036,0.205,0.497
C35,3.421,0.048,0.183,0.424
C36,0,0,0,0
C37,0,0,0,0
C38,2.762,0.037,0.229,0.464
C39,3.321,0.035,0.216,0.4485
C40,0,0,0,0
C41,0,0,0,0
C42,0,0,0,0
C43,3.39,0.04,0.206,0.471
C44,3.375,0.039,0.226,0.483
C45,0,0,0,0
C46,3.321,0.041,0.203,0.428
C47,0,0,0,0
C48,0,0,0,0
C49,0,0,0,0
C50,0,0,0,0
C51,3.359,0.036,0.197,0.479
C52,3.407,0.045,0.181,0.4035
C53,0,0,0,0
C54,0,0,0,0
C55,3.332,0.044,0.188,0.441
C56,0,0,0,0
C57,0,0,0,0
C58,0,0,0,0
control (fishwater)_C59-88,3.298,0.037,0.17,0.477
1% DMSO_C59-88,3.3655,0.042,0.181,0.483
C59,0,0,0,0
C60,3.3365,0.04,0.1655,0.4415
C61,3.052,0.035,0.217,0.514
C62,0,0,0,0
C63,3.369,0.041,0.177,0.44
C64,3.1225,0.0335,0.205,0.5075
C65,3.07,0.037,0.24,0.5515
C66,3.342,0.0395,0.1665,0.4255
C67,3.336,0.037,0.214,0.522
C68,0,0,0,0
C69,0,0,0,0
C70,3.157,0.0375,0.2015,0.4335
C71,3.095,0.033,0.172,0.491
C72,3.138,0.044,0.231,0.518
C73,3.2095,0.0345,0.187,0.462
C74,2.9875,0.036,0.2425,0.5355
C75,0,0,0,0
C76,3.362,0.038,0.1715,0.4475
C77,3.205,0.039,0.167,0.405
C78,0,0,0,0
C79,0,0,0,0
C80,3.314,0.0415,0.176,0.449
C81,0,0,0,0
C82,3.098,0.036,0.198,0.43
C83,0,0,0,0
C84,0,0,0,0
C85,0,0,0,0
C86,3.262,0.046,0.209,0.491
C87,0,0,0,0
C88,0,0,0,0