Compound,Median length- mm,Median YOLKSAC BREADTH (mm),Median Yolk sac area(mm2),Median Eye area(mm2),Median YOLKSAC BREADTH Ratio,Median Yolk sac area Ratio,Median Eye area Ratio,3 clusters,6 clusters,3 clusters_complete,4 clusters_average
C69,3.262,0.461,0.228,0.03,0.14132434089515636,0.06989576946658492,0.00919681177191907,1,2,2,0
C52,3.217,0.406,0.177,0.034,0.12620453838980414,0.055020205160087036,0.01056885296860429,1,2,2,0
C126,3.2560000000000002,0.46299999999999997,0.20600000000000002,0.035,0.1421990171990172,0.06326781326781326,0.010749385749385752,1,2,2,0
C59,3.077,0.446,0.18100000000000002,0.027000000000000003,0.1449463763405915,0.05882352941176471,0.008774780630484239,2,1,0,0
C109,3.281,0.516,0.23399999999999999,0.028999999999999998,0.157269125266687,0.07131971959768363,0.008838768668088998,1,2,2,0
C121,3.097,0.5489999999999999,0.24,0.038,0.17726832418469485,0.07749434937035841,0.012269938650306749,2,1,0,0
C25,3.1,0.5539999999999999,0.266,0.028999999999999998,0.1787096774193548,0.08580645161290322,0.00935483870967742,2,1,0,0
C24,3.167,0.5479999999999999,0.239,0.032,0.17303441742974426,0.07546574044837387,0.01010419955794127,1,2,2,0
C70,3.2089999999999996,0.514,0.187,0.034,0.16017450919289494,0.05827360548457462,0.010595200997195388,1,2,2,0
C14,3.1060000000000003,0.457,0.18,0.034,0.14713457823567289,0.057952350289761735,0.010946555054732776,2,1,0,0
C123,3.165,0.542,0.242,0.032,0.1712480252764613,0.07646129541864137,0.010110584518167456,1,2,2,0
C89,3.2260000000000004,0.441,0.19,0.034,0.13670179789212644,0.05889646621202727,0.010539367637941723,1,2,2,0
C153,3.237,0.511,0.242,0.032,0.15786221810318196,0.07476058078467716,0.009885696632684585,1,2,2,0
C7,3.2460000000000004,0.545,0.214,0.028999999999999998,0.16789895255699322,0.06592729513247073,0.008934072704867528,1,2,2,0
C98,3.195,0.41200000000000003,0.19899999999999998,0.028999999999999998,0.12895148669796558,0.06228482003129891,0.009076682316118936,1,2,2,0
C1,3.115,0.436,0.187,0.034,0.13996789727126804,0.06003210272873194,0.010914927768860352,2,1,0,0
C92,3.27,0.47,0.204,0.031,0.1437308868501529,0.06238532110091743,0.00948012232415902,1,2,2,0
C5,3.083,0.439,0.196,0.024,0.14239377229970807,0.0635744404800519,0.007784625364904314,2,1,0,0
C77,3.1839999999999997,0.45799999999999996,0.19699999999999998,0.027999999999999997,0.14384422110552764,0.06187185929648241,0.008793969849246231,1,2,2,0
C4,2.975,0.423,0.187,0.032,0.14218487394957982,0.06285714285714286,0.010756302521008405,2,1,0,0
C38,3.611,0.38299999999999995,0.16,0.035,0.1060648019939075,0.044309055663251176,0.009692605926336195,0,3,1,1
C54,3.6889999999999996,0.391,0.196,0.036000000000000004,0.10599078341013823,0.05313092979127135,0.009758742206560044,0,3,1,1
C49,3.6439999999999997,0.402,0.18100000000000002,0.035,0.11031833150384192,0.049670691547749724,0.009604829857299673,0,3,1,1
C43,3.681,0.377,0.165,0.038,0.10241782124422713,0.04482477587612062,0.010323281716924749,0,3,1,1
C42,3.705,0.419,0.171,0.034,0.11309041835357625,0.04615384615384616,0.009176788124156546,0,3,1,1
C41,3.6430000000000002,0.434,0.18600000000000005,0.04,0.11913258303595935,0.05105682130112547,0.010979961570134505,0,3,1,1
C37,3.66,0.415,0.166,0.038,0.11338797814207648,0.0453551912568306,0.010382513661202184,0,3,1,1
C30,3.63,0.413,0.19699999999999998,0.037000000000000005,0.11377410468319557,0.05426997245179064,0.010192837465564741,0,3,1,1
C56,3.6489999999999996,0.36200000000000004,0.179,0.03,0.0992052617155385,0.04905453548917511,0.00822143052891203,0,3,1,1
C119,3.428,0.428,0.191,0.039,0.12485414235705952,0.05571761960326721,0.011376896149358226,0,0,1,2
C115,3.372,0.382,0.14800000000000002,0.038,0.1132858837485172,0.0438908659549229,0.011269276393831554,1,4,2,2
C113,3.486,0.457,0.195,0.038,0.1310958118187034,0.05593803786574871,0.010900745840504877,0,0,1,2
C122,3.4739999999999998,0.47600000000000003,0.18600000000000005,0.031,0.13701784686240642,0.05354058721934371,0.008923431203223949,0,0,1,2
C114,3.3760000000000003,0.402,0.15,0.035,0.11907582938388625,0.044431279620853074,0.010367298578199052,1,4,2,2
Control Fish water,3.3169999999999997,0.48700000000000004,0.18600000000000005,0.028999999999999998,0.14681941513415736,0.0560747663551402,0.008742839915586373,1,4,2,2
C129,3.511,0.436,0.195,0.037000000000000005,0.12418114497294218,0.05553973227000855,0.010538308174309315,0,0,1,2
C133,3.3480000000000003,0.478,0.2,0.036000000000000004,0.1427718040621266,0.05973715651135006,0.010752688172043013,1,4,2,2
C138,3.355,0.515,0.21100000000000002,0.037000000000000005,0.15350223546944858,0.06289120715350223,0.011028315946348734,1,4,2,2
C140,3.469,0.429,0.17800000000000002,0.027999999999999997,0.12366676275583742,0.051311617180743736,0.008071490343038341,0,0,1,2
C141,3.427,0.369,0.168,0.033,0.10767435074409104,0.04902246863145609,0.009629413481178873,0,0,1,2
C142,3.392,0.38299999999999995,0.158,0.033,0.1129127358490566,0.04658018867924529,0.009728773584905662,0,0,1,2
C143,3.483,0.384,0.175,0.032,0.11024978466838932,0.050244042492104506,0.009187482055699109,0,0,1,2
C148,3.425,0.439,0.198,0.032,0.12817518248175186,0.057810218978102186,0.009343065693430658,0,0,1,2
C151,3.304,0.418,0.207,0.034,0.12651331719128328,0.06265133171912833,0.010290556900726394,1,4,2,2
C152,3.4619999999999997,0.45799999999999996,0.20600000000000002,0.038,0.13229347198151356,0.05950317735413056,0.010976314269208549,0,0,1,2
C156,3.3739999999999997,0.444,0.209,0.035,0.13159454653230587,0.061944279786603426,0.010373443983402493,1,4,2,2
C157,3.375,0.392,0.18,0.028999999999999998,0.11614814814814815,0.05333333333333333,0.008592592592592594,1,4,2,2
C127,3.511,0.46299999999999997,0.20800000000000002,0.039,0.13187126174878952,0.05924238108800911,0.011107946454001708,0,0,1,2
C106,3.355,0.519,0.221,0.033,0.15469448584202686,0.06587183308494785,0.009836065573770493,1,4,2,2
C65,3.307,0.434,0.196,0.032,0.1312367704868461,0.0592682189295434,0.009676443906864228,1,4,2,2
C104,3.4619999999999997,0.418,0.159,0.037000000000000005,0.12073945696129405,0.04592720970537262,0.010687463893703062,0,0,1,2
"Control 
1% DMSO",3.3939999999999997,0.451,0.182,0.034,0.1328815556865056,0.05362404242781379,0.010017678255745434,0,0,1,2
C3,3.327,0.419,0.198,0.031,0.12593928464081755,0.05951307484220018,0.009317703636910129,1,4,2,2
C8,3.353,0.47100000000000003,0.209,0.034,0.14047121980316132,0.062332239785266925,0.010140172979421413,1,4,2,2
C10,3.483,0.48200000000000004,0.214,0.034,0.13838644846396786,0.061441286247487785,0.009761699684180305,0,0,1,2
C11,3.32,0.488,0.187,0.028999999999999998,0.14698795180722893,0.056325301204819274,0.008734939759036145,1,4,2,2
C12,3.333,0.44799999999999995,0.205,0.037000000000000005,0.1344134413441344,0.0615061506150615,0.011101110111011102,1,4,2,2
C13,3.42,0.485,0.231,0.038,0.14181286549707606,0.06754385964912281,0.011111111111111113,0,0,1,2
C17,3.569,0.465,0.21,0.038,0.13028859624544692,0.058840011207621175,0.010647240123283832,0,0,1,2
C27,3.5260000000000002,0.508,0.23600000000000002,0.036000000000000004,0.14407260351673284,0.06693136698808849,0.010209869540555873,0,0,1,2
C28,3.451,0.434,0.209,0.032,0.1257606490872211,0.06056215589684149,0.009272674587076209,0,0,1,2
C29,3.457,0.47700000000000004,0.22399999999999998,0.03,0.13798090830199594,0.06479606595313858,0.008678044547295342,0,0,1,2
C34,3.556,0.423,0.204,0.04,0.1189538807649044,0.05736782902137232,0.01124859392575928,0,0,1,2
C40,3.509,0.431,0.21,0.031,0.12282701624394415,0.05984611000284981,0.00883442576232545,0,0,1,2
C48,3.513,0.45899999999999996,0.191,0.034,0.13065755764304016,0.05436948477085113,0.00967833760318816,0,0,1,2
C51,3.367,0.423,0.239,0.033,0.12563112563112566,0.07098307098307098,0.0098010098010098,1,4,2,2
C57,3.5639999999999996,0.434,0.184,0.032,0.12177328843995512,0.051627384960718295,0.008978675645342313,0,0,1,2
C60,3.489,0.447,0.192,0.032,0.12811693895098886,0.055030094582975066,0.009171682430495844,0,0,1,2
C63,3.491,0.435,0.195,0.032,0.12460613004869665,0.05585792036665712,0.00916642795760527,0,0,1,2
C158,3.516,0.381,0.16399999999999998,0.034,0.1083617747440273,0.04664391353811148,0.009670079635949944,0,0,1,2
C68,3.41,0.425,0.175,0.027000000000000003,0.12463343108504395,0.05131964809384164,0.007917888563049855,0,0,1,2
C72,3.4,0.397,0.179,0.033,0.11676470588235295,0.052647058823529415,0.009705882352941177,0,0,1,2
C78,3.574,0.377,0.16,0.037000000000000005,0.1054840514829323,0.044767767207610526,0.010352546166759936,0,0,1,2
C105,3.452,0.444,0.172,0.038,0.12862108922363846,0.04982618771726535,0.01100811123986095,0,0,1,2
C159,3.362,0.449,0.198,0.028999999999999998,0.13355145746579414,0.05889351576442594,0.00862581796549673,1,4,2,2
C110,2.7560000000000002,0.447,0.179,0.038,0.16219158200290276,0.06494920174165457,0.013788098693759071,2,5,0,3
