,Compound,Median length- mm,Median YOLKSAC BREADTH (mm),Median Yolk sac area(mm2),Median Eye area(mm2),Median YOLKSAC BREADTH Ratio,Median Yolk sac area Ratio,Median Eye area Ratio,principal component 1,principal component 2,pca_3_clusters_ward,pca_3_clusters_complete,pca_3_clusters_average
56,C121,3.097,0.5489999999999999,0.24,0.038,0.17726832418469485,0.07749434937035841,0.012269938650306749,0.2873328366348898,0.026150729923251865,2,0,0
2,C1,3.115,0.436,0.187,0.034,0.13996789727126804,0.06003210272873194,0.010914927768860352,0.26614912297390464,-0.013493424864070746,2,0,0
4,C4,2.975,0.423,0.187,0.032,0.14218487394957982,0.06285714285714286,0.010756302521008405,0.40595785306920534,-0.02130711423121157,2,0,0
5,C5,3.083,0.439,0.196,0.024,0.14239377229970807,0.0635744404800519,0.007784625364904314,0.29832627186456523,-0.012326952165806917,2,0,0
51,C110,2.7560000000000002,0.447,0.179,0.038,0.16219158200290276,0.06494920174165457,0.013788098693759071,0.6258072471508771,-0.019571400334141058,2,0,0
34,C59,3.077,0.446,0.18100000000000002,0.027000000000000003,0.1449463763405915,0.05882352941176471,0.008774780630484239,0.3043585942488847,-0.012497291812629313,2,0,0
12,C14,3.1060000000000003,0.457,0.18,0.034,0.14713457823567289,0.057952350289761735,0.010946555054732776,0.2755863734004482,-0.00860609170018969,2,0,0
15,C25,3.1,0.5539999999999999,0.266,0.028999999999999998,0.1787096774193548,0.08580645161290322,0.00935483870967742,0.2846846213258636,0.031193264276520305,2,0,0
66,C142,3.392,0.38299999999999995,0.158,0.033,0.1129127358490566,0.04658018867924529,0.009728773584905662,-0.012362616133492045,-0.021826821253781534,0,1,1
31,C54,3.6889999999999996,0.391,0.196,0.036000000000000004,0.10599078341013823,0.05313092979127135,0.009758742206560044,-0.3087575200296765,-0.0019609757549878364,0,1,1
32,C56,3.6489999999999996,0.36200000000000004,0.179,0.03,0.0992052617155385,0.04905453548917511,0.00822143052891203,-0.26949862482622117,-0.012956589629686205,0,1,1
33,C57,3.5639999999999996,0.434,0.184,0.032,0.12177328843995512,0.051627384960718295,0.008978675645342313,-0.1830336352876089,0.0018291935581688117,0,1,1
35,C60,3.489,0.447,0.192,0.032,0.12811693895098886,0.055030094582975066,0.009171682430495844,-0.10770333426974577,0.0030976276800338547,0,1,1
36,C63,3.491,0.435,0.195,0.032,0.12460613004869665,0.05585792036665712,0.00916642795760527,-0.10993052711185797,0.00043341524583978146,0,1,1
74,C158,3.516,0.381,0.16399999999999998,0.034,0.1083617747440273,0.04664391353811148,0.009670079635949944,-0.1363089507113694,-0.016160244998760096,0,1,1
38,C68,3.41,0.425,0.175,0.027000000000000003,0.12463343108504395,0.05131964809384164,0.007917888563049855,-0.029312770099569247,-0.007827517347881164,0,1,1
27,C48,3.513,0.45899999999999996,0.191,0.034,0.13065755764304016,0.05436948477085113,0.00967833760318816,-0.13146104222300029,0.007001061939518085,0,1,1
64,C140,3.469,0.429,0.17800000000000002,0.027999999999999997,0.12366676275583742,0.051311617180743736,0.008071490343038341,-0.08820028575684728,-0.004064685936791212,0,1,1
67,C143,3.483,0.384,0.175,0.032,0.11024978466838932,0.050244042492104506,0.009187482055699109,-0.10316971066472366,-0.015530965198139415,0,1,1
43,C78,3.574,0.377,0.16,0.037000000000000005,0.1054840514829323,0.044767767207610526,0.010352546166759936,-0.19439300443116442,-0.014989879663221762,0,1,1
61,C129,3.511,0.436,0.195,0.037000000000000005,0.12418114497294218,0.05553973227000855,0.010538308174309315,-0.12990716823662027,0.0014893447126116935,0,1,1
60,C127,3.511,0.46299999999999997,0.20800000000000002,0.039,0.13187126174878952,0.05924238108800911,0.011107946454001708,-0.12923597212711735,0.009998026309824938,0,1,1
47,C104,3.4619999999999997,0.418,0.159,0.037000000000000005,0.12073945696129405,0.04592720970537262,0.010687463893703062,-0.08158918767009452,-0.009528530477800438,0,1,1
48,C105,3.452,0.444,0.172,0.038,0.12862108922363846,0.04982618771726535,0.01100811123986095,-0.0709296459451701,-0.0015505783942534718,0,1,1
52,C113,3.486,0.457,0.195,0.038,0.1310958118187034,0.05593803786574871,0.010900745840504877,-0.10446618228272,0.0059371778350147475,0,1,1
57,C122,3.4739999999999998,0.47600000000000003,0.18600000000000005,0.031,0.13701784686240642,0.05354058721934371,0.008923431203223949,-0.0921408942499687,0.009328281049695084,0,1,1
65,C141,3.427,0.369,0.168,0.033,0.10767435074409104,0.04902246863145609,0.009629413481178873,-0.04756732597363858,-0.022775305157860744,0,1,1
41,C72,3.4,0.397,0.179,0.033,0.11676470588235295,0.052647058823529415,0.009705882352941177,-0.019880234285104756,-0.015158434512829945,0,1,1
55,C119,3.428,0.428,0.191,0.039,0.12485414235705952,0.05571761960326721,0.011376896149358226,-0.04710976527617895,-0.004353073563226837,0,1,1
26,C43,3.681,0.377,0.165,0.038,0.10241782124422713,0.04482477587612062,0.010323281716924749,-0.30128352408702724,-0.009321846126869014,0,1,1
8,C10,3.483,0.48200000000000004,0.214,0.034,0.13838644846396786,0.061441286247487785,0.009761699684180305,-0.10078348965396636,0.01460726453946928,0,1,1
70,C152,3.4619999999999997,0.45799999999999996,0.20600000000000002,0.038,0.13229347198151356,0.05950317735413056,0.010976314269208549,-0.08034995215614701,0.006636449850189239,0,1,1
1,"Control 
1% DMSO",3.3939999999999997,0.451,0.182,0.034,0.1328815556865056,0.05362404242781379,0.010017678255745434,-0.012689089260917009,-0.0006614048478817493,0,1,1
11,C13,3.42,0.485,0.231,0.038,0.14181286549707606,0.06754385964912281,0.011111111111111113,-0.037550430601456,0.015325174785363474,0,1,1
28,C49,3.6439999999999997,0.402,0.18100000000000002,0.035,0.11031833150384192,0.049670691547749724,0.009604829857299673,-0.2636803335959946,-0.0030512999585854163,0,1,1
13,C17,3.569,0.465,0.21,0.038,0.13028859624544692,0.058840011207621175,0.010647240123283832,-0.1871838176634243,0.012958802542913168,0,1,1
68,C148,3.425,0.439,0.198,0.032,0.12817518248175186,0.057810218978102186,0.009343065693430658,-0.043817514612872845,-0.0007085435591213529,0,1,1
17,C28,3.451,0.434,0.209,0.032,0.1257606490872211,0.06056215589684149,0.009272674587076209,-0.06983425923747279,0.0003164271643420057,0,1,1
16,C27,3.5260000000000002,0.508,0.23600000000000002,0.036000000000000004,0.14407260351673284,0.06693136698808849,0.010209869540555873,-0.14307401816285267,0.025441317346256376,0,1,1
19,C30,3.63,0.413,0.19699999999999998,0.037000000000000005,0.11377410468319557,0.05426997245179064,0.010192837465564741,-0.24933707968981728,0.0009106972955770585,0,1,1
20,C34,3.556,0.423,0.204,0.04,0.1189538807649044,0.05736782902137232,0.01124859392575928,-0.17509681561934828,0.0010788544842358645,0,1,1
21,C37,3.66,0.415,0.166,0.038,0.11338797814207648,0.0453551912568306,0.010382513661202184,-0.2795293935066784,-0.000841294658716331,0,1,1
22,C38,3.611,0.38299999999999995,0.16,0.035,0.1060648019939075,0.044309055663251176,0.009692605926336195,-0.23124941474497995,-0.011750386493220365,0,1,1
23,C40,3.509,0.431,0.21,0.031,0.12282701624394415,0.05984611000284981,0.00883442576232545,-0.12789015394368533,0.001924701224517936,0,1,1
24,C41,3.6430000000000002,0.434,0.18600000000000005,0.04,0.11913258303595935,0.05105682130112547,0.010979961570134505,-0.2619958639204165,0.00541724258581069,0,1,1
25,C42,3.705,0.419,0.171,0.034,0.11309041835357625,0.04615384615384616,0.009176788124156546,-0.3243896028421318,0.002764040811032863,0,1,1
18,C29,3.457,0.47700000000000004,0.22399999999999998,0.03,0.13798090830199594,0.06479606595313858,0.008678044547295342,-0.07479834526042224,0.013611309892292292,0,1,1
72,C156,3.3739999999999997,0.444,0.209,0.035,0.13159454653230587,0.061944279786603426,0.010373443983402493,0.007395117787245028,0.00011542794632676469,1,2,2
73,C157,3.375,0.392,0.18,0.028999999999999998,0.11614814814814815,0.05333333333333333,0.008592592592592594,0.005015447921108161,-0.017392572317332645,1,2,2
58,C123,3.165,0.542,0.242,0.032,0.1712480252764613,0.07646129541864137,0.010110584518167456,0.21907072443189776,0.02562190523062764,1,2,2
63,C138,3.355,0.515,0.21100000000000002,0.037000000000000005,0.15350223546944858,0.06289120715350223,0.011028315946348734,0.02796978849437138,0.01880803605574745,1,2,2
71,C153,3.237,0.511,0.242,0.032,0.15786221810318196,0.07476058078467716,0.009885696632684585,0.1462640884843294,0.018475628288977277,1,2,2
69,C151,3.304,0.418,0.207,0.034,0.12651331719128328,0.06265133171912833,0.010290556900726394,0.07682544893647757,-0.009679479061728636,1,2,2
62,C133,3.3480000000000003,0.478,0.2,0.036000000000000004,0.1427718040621266,0.05973715651135006,0.010752688172043013,0.03407017646861896,0.007234889721833795,1,2,2
59,C126,3.2560000000000002,0.46299999999999997,0.20600000000000002,0.035,0.1421990171990172,0.06326781326781326,0.010749385749385752,0.12584419466299746,0.0009737431734522159,1,2,2
0,Control Fish water,3.3169999999999997,0.48700000000000004,0.18600000000000005,0.028999999999999998,0.14681941513415736,0.0560747663551402,0.008742839915586373,0.06516245565130066,0.006905247771828199,1,2,2
37,C65,3.307,0.434,0.196,0.032,0.1312367704868461,0.0592682189295434,0.009676443906864228,0.0740825681823071,-0.00660598152157719,1,2,2
53,C114,3.3760000000000003,0.402,0.15,0.035,0.11907582938388625,0.044431279620853074,0.010367298578199052,0.003978000267812202,-0.018424833837448477,1,2,2
3,C3,3.327,0.419,0.198,0.031,0.12593928464081755,0.05951307484220018,0.009317703636910129,0.05376314613628751,-0.009714941771178372,1,2,2
6,C7,3.2460000000000004,0.545,0.214,0.028999999999999998,0.16789895255699322,0.06592729513247073,0.008934072704867528,0.1377714890949045,0.024519149446609247,1,2,2
7,C8,3.353,0.47100000000000003,0.209,0.034,0.14047121980316132,0.062332239785266925,0.010140172979421413,0.02899137305679715,0.006644788076741892,1,2,2
9,C11,3.32,0.488,0.187,0.028999999999999998,0.14698795180722893,0.056325301204819274,0.008734939759036145,0.06219136022385463,0.0073990767710852105,1,2,2
10,C12,3.333,0.44799999999999995,0.205,0.037000000000000005,0.1344134413441344,0.0615061506150615,0.011101110111011102,0.04846243319291944,-0.0007465697565759252,1,2,2
14,C24,3.167,0.5479999999999999,0.239,0.032,0.17303441742974426,0.07546574044837387,0.01010419955794127,0.21717910808306598,0.026972403920613,1,2,2
29,C51,3.367,0.423,0.239,0.033,0.12563112563112566,0.07098307098307098,0.0098010098010098,0.014196710297633783,-0.0020068634119825594,1,2,2
54,C115,3.372,0.382,0.14800000000000002,0.038,0.1132858837485172,0.0438908659549229,0.011269276393831554,0.007526609370061394,-0.024195727809060034,1,2,2
30,C52,3.217,0.406,0.177,0.034,0.12620453838980414,0.055020205160087036,0.01056885296860429,0.1633122981294319,-0.02001937782830681,1,2,2
40,C70,3.2089999999999996,0.514,0.187,0.034,0.16017450919289494,0.05827360548457462,0.010595200997195388,0.17387114026999467,0.011405100852579739,1,2,2
42,C77,3.1839999999999997,0.45799999999999996,0.19699999999999998,0.027999999999999997,0.14384422110552764,0.06187185929648241,0.008793969849246231,0.19769847415720906,-0.0037928892718404133,1,2,2
44,C89,3.2260000000000004,0.441,0.19,0.034,0.13670179789212644,0.05889646621202727,0.010539367637941723,0.15522155609053875,-0.008195094797039695,1,2,2
45,C92,3.27,0.47,0.204,0.031,0.1437308868501529,0.06238532110091743,0.00948012232415902,0.11197308210636886,0.003084283535842628,1,2,2
46,C98,3.195,0.41200000000000003,0.19899999999999998,0.028999999999999998,0.12895148669796558,0.06228482003129891,0.009076682316118936,0.185653395452204,-0.01620395997937085,1,2,2
49,C106,3.355,0.519,0.221,0.033,0.15469448584202686,0.06587183308494785,0.009836065573770493,0.028141927835423464,0.021141482862015993,1,2,2
50,C109,3.281,0.516,0.23399999999999999,0.028999999999999998,0.157269125266687,0.07131971959768363,0.008838768668088998,0.1022568420964421,0.01994637386027895,1,2,2
39,C69,3.262,0.461,0.228,0.03,0.14132434089515636,0.06989576946658492,0.00919681177191907,0.11998843620079658,0.003451100621280887,1,2,2
75,C159,3.362,0.449,0.198,0.028999999999999998,0.13355145746579414,0.05889351576442594,0.00862581796549673,0.0194111824004657,-0.00035009918321515413,1,2,2
