,Compound,Median length- mm,Median YOLKSAC BREADTH (mm),Median Yolk sac area(mm2),Median Eye area(mm2),standard_clusters3
0,Control Fish water,3.3169999999999997,0.48700000000000004,0.18600000000000003,0.028999999999999998,0
1,"Control 
1% DMSO",3.3939999999999997,0.451,0.182,0.034,0
2,C1,3.115,0.436,0.187,0.034,0
3,C2,0.0,0.0,0.0,0.0,1
4,C3,3.327,0.419,0.198,0.031,0
5,C4,2.975,0.423,0.187,0.032,0
6,C5,3.083,0.439,0.196,0.024,0
7,C6,0.0,0.0,0.0,0.0,1
8,C7,3.2460000000000004,0.545,0.214,0.028999999999999998,0
9,C8,3.353,0.47100000000000003,0.209,0.034,0
10,C9,0.0,0.0,0.0,0.0,1
11,C10,3.483,0.48200000000000004,0.214,0.034,0
12,C11,3.32,0.488,0.187,0.028999999999999998,0
13,C12,3.333,0.44799999999999995,0.205,0.037000000000000005,0
14,C13,3.42,0.485,0.231,0.038,0
15,C14,3.1060000000000003,0.457,0.18,0.034,0
16,C15,0.0,0.0,0.0,0.0,1
17,C16,0.0,0.0,0.0,0.0,1
18,C17,3.569,0.465,0.21,0.038,0
19,C18,0.0,0.0,0.0,0.0,1
20,C19,0.0,0.0,0.0,0.0,1
21,C20,0.0,0.0,0.0,0.0,1
22,C21,0.0,0.0,0.0,0.0,1
23,C22,0.0,0.0,0.0,0.0,1
24,C23,0.0,0.0,0.0,0.0,1
25,C24,3.167,0.5479999999999999,0.239,0.032,0
26,C25,3.1,0.5539999999999999,0.266,0.028999999999999998,0
27,C26,0.0,0.0,0.0,0.0,1
28,C27,3.5260000000000002,0.508,0.23600000000000002,0.036000000000000004,0
29,C28,3.451,0.434,0.209,0.032,0
30,C29,3.457,0.47700000000000004,0.22399999999999998,0.03,0
31,C30,3.63,0.413,0.19699999999999998,0.037000000000000005,0
32,C31,0.0,0.0,0.0,0.0,1
33,C32,0.0,0.0,0.0,0.0,1
34,C33,0.0,0.0,0.0,0.0,1
35,C34,3.556,0.423,0.204,0.04,0
36,C35,0.0,0.0,0.0,0.0,1
37,C36,0.0,0.0,0.0,0.0,1
38,C37,3.66,0.415,0.166,0.038,0
39,C38,3.611,0.38299999999999995,0.16,0.035,0
40,C39,0.0,0.0,0.0,0.0,1
41,C40,3.509,0.431,0.21,0.031,0
42,C41,3.6430000000000002,0.434,0.18600000000000003,0.04,0
43,C42,3.705,0.419,0.171,0.034,0
44,C43,3.681,0.377,0.165,0.038,0
45,C44,0.0,0.0,0.0,0.0,1
46,C45,0.0,0.0,0.0,0.0,1
47,C46,0.0,0.0,0.0,0.0,1
48,C47,0.0,0.0,0.0,0.0,1
49,C48,3.513,0.45899999999999996,0.191,0.034,0
50,C49,3.6439999999999997,0.402,0.18100000000000002,0.035,0
51,C50,0.0,0.0,0.0,0.0,1
52,C51,3.367,0.423,0.239,0.033,0
53,C52,3.217,0.406,0.177,0.034,0
54,C53,0.0,0.0,0.0,0.0,1
55,C54,3.6889999999999996,0.391,0.196,0.036000000000000004,0
56,C55,0.0,0.0,0.0,0.0,1
57,C56,3.6489999999999996,0.36200000000000004,0.179,0.03,0
58,C57,3.5639999999999996,0.434,0.184,0.032,0
59,C58,0.0,0.0,0.0,0.0,1
60,C59,3.077,0.446,0.18100000000000002,0.027000000000000003,0
61,C60,3.489,0.447,0.192,0.032,0
62,C61,0.0,0.0,0.0,0.0,1
63,C62,0.0,0.0,0.0,0.0,1
64,C63,3.491,0.435,0.195,0.032,0
65,C64,0.0,0.0,0.0,0.0,1
66,C65,3.307,0.434,0.196,0.032,0
67,C66,0.0,0.0,0.0,0.0,1
68,C67,0.0,0.0,0.0,0.0,1
69,C68,3.41,0.425,0.175,0.027000000000000003,0
70,C69,3.262,0.461,0.228,0.03,0
71,C70,3.2089999999999996,0.514,0.187,0.034,0
72,C71,0.0,0.0,0.0,0.0,1
73,C72,3.4,0.397,0.179,0.033,0
74,C73,3.426,0.447,0.2,0.33,2
75,C74,0.0,0.0,0.0,0.0,1
76,C75,0.0,0.0,0.0,0.0,1
77,C76,0.0,0.0,0.0,0.0,1
78,C77,3.1839999999999997,0.45799999999999996,0.19699999999999998,0.027999999999999997,0
79,C78,3.574,0.377,0.16,0.037000000000000005,0
80,C79,0.0,0.0,0.0,0.0,1
81,C80,0.0,0.0,0.0,0.0,1
82,C81,0.0,0.0,0.0,0.0,1
83,C82,0.0,0.0,0.0,0.0,1
84,C83,0.0,0.0,0.0,0.0,1
85,C84,0.0,0.0,0.0,0.0,1
86,C85,0.0,0.0,0.0,0.0,1
87,C86,0.0,0.0,0.0,0.0,1
88,C87,0.0,0.0,0.0,0.0,1
89,C88,0.0,0.0,0.0,0.0,1
90,C89,3.2260000000000004,0.441,0.19,0.034,0
91,C90,0.0,0.0,0.0,0.0,1
92,C91,0.0,0.0,0.0,0.0,1
93,C92,3.27,0.47,0.204,0.031,0
94,C93,0.0,0.0,0.0,0.0,1
95,C94,0.0,0.0,0.0,0.0,1
96,C95,0.0,0.0,0.0,0.0,1
97,C96,0.0,0.0,0.0,0.0,1
98,C97,0.0,0.0,0.0,0.0,1
99,C98,3.195,0.41200000000000003,0.19899999999999998,0.028999999999999998,0
100,C99,0.0,0.0,0.0,0.0,1
101,C100,0.0,0.0,0.0,0.0,1
102,C101,0.0,0.0,0.0,0.0,1
103,C102,0.0,0.0,0.0,0.0,1
104,C103,0.0,0.0,0.0,0.0,1
105,C104,3.4619999999999997,0.418,0.159,0.037000000000000005,0
106,C105,3.452,0.444,0.172,0.038,0
107,C106,3.355,0.519,0.221,0.033,0
108,C107,0.0,0.0,0.0,0.0,1
109,C108,0.0,0.0,0.0,0.0,1
110,C109,3.281,0.516,0.23399999999999999,0.028999999999999998,0
111,C110,2.7560000000000002,0.447,0.179,0.038,0
112,C111,0.0,0.0,0.0,0.0,1
113,C112,0.0,0.0,0.0,0.0,1
114,C113,3.486,0.457,0.195,0.038,0
115,C114,3.3760000000000003,0.402,0.15,0.035,0
116,C115,3.372,0.382,0.14800000000000002,0.038,0
117,C116,0.0,0.0,0.0,0.0,1
118,C117,0.0,0.0,0.0,0.0,1
119,C118,0.0,0.0,0.0,0.0,1
120,C119,3.428,0.428,0.191,0.039,0
121,C120,0.0,0.0,0.0,0.0,1
122,C121,3.097,0.5489999999999999,0.24,0.038,0
123,C122,3.4739999999999998,0.47600000000000003,0.18600000000000003,0.031,0
124,C123,3.165,0.542,0.242,0.032,0
125,C124,0.0,0.0,0.0,0.0,1
126,C125,0.0,0.0,0.0,0.0,1
127,C126,3.2560000000000002,0.46299999999999997,0.20600000000000002,0.035,0
128,C127,3.511,0.46299999999999997,0.20800000000000002,0.039,0
129,C128,0.0,0.0,0.0,0.0,1
130,C129,3.511,0.436,0.195,0.037000000000000005,0
131,C130,0.0,0.0,0.0,0.0,1
132,C131,0.0,0.0,0.0,0.0,1
133,C132,0.0,0.0,0.0,0.0,1
134,C133,3.3480000000000003,0.478,0.2,0.036000000000000004,0
135,C134,0.0,0.0,0.0,0.0,1
136,C135,0.0,0.0,0.0,0.0,1
137,C136,0.0,0.0,0.0,0.0,1
138,C137,0.0,0.0,0.0,0.0,1
139,C138,3.355,0.515,0.21100000000000002,0.037000000000000005,0
140,C139,0.0,0.0,0.0,0.0,1
141,C140,3.469,0.429,0.17800000000000002,0.027999999999999997,0
142,C141,3.427,0.369,0.168,0.033,0
143,C142,3.392,0.38299999999999995,0.158,0.033,0
144,C143,3.483,0.384,0.175,0.032,0
145,C144,0.0,0.0,0.0,0.0,1
146,C145,0.0,0.0,0.0,0.0,1
147,C146,0.0,0.0,0.0,0.0,1
148,C147,0.0,0.0,0.0,0.0,1
149,C148,3.425,0.439,0.198,0.032,0
150,C149,0.0,0.0,0.0,0.0,1
151,C150,0.0,0.0,0.0,0.0,1
152,C151,3.304,0.418,0.207,0.034,0
153,C152,3.4619999999999997,0.45799999999999996,0.20600000000000002,0.038,0
154,C153,3.237,0.511,0.242,0.032,0
155,C154,0.0,0.0,0.0,0.0,1
156,C155,0.0,0.0,0.0,0.0,1
157,C156,3.3739999999999997,0.444,0.209,0.035,0
158,C157,3.375,0.392,0.18,0.028999999999999998,0
159,C158,3.516,0.381,0.16399999999999998,0.034,0
160,C159,3.362,0.449,0.198,0.028999999999999998,0
